title,text
Anarchism,"Anarchism is a political philosophy that advocates self-governed societies based on voluntary institutions. These are often described as stateless societies, although several authors have defined them more specifically as institutions based on non-hierarchical or free associations. Anarchism holds the state to be undesirable, unnecessary and harmful."
Autism,"Autism is a developmental disorder characterized by troubles with social interaction and communication. Often there is also restricted and repetitive behavior. Parents usually notice signs in the first two or three years of their child's life. These signs often develop gradually, though some children with autism reach their developmental milestones at a normal pace and then worsen."
Albedo,"Albedo () (Latin ""albedo,"" ""whiteness"") is the measure of diffusive reflection of solar radiation out of the total solar radiation received by a body, for example a planetary body such as Earth. It is dimensionless and measured on a scale from zero (corresponding to a black body that absorbs all incident radiation) to one (corresponding to a body that reflects all incident radiation)."
A,"A (named , plural ""As"", ""A's"", ""a""s, ""a's"" or ""aes"") is the first letter and the first vowel of the ISO basic Latin alphabet. It is similar to the Ancient Greek letter alpha, from which it derives. The upper-case version consists of the two slanting sides of a triangle, crossed in the middle by a horizontal bar. The lower-case version can be written in two forms: the double-storey a and single-storey ɑ. The latter is commonly used in handwriting and fonts based on it, especially fonts intended to be read by children, and is also found in italic type."
Alabama,"Alabama is a state in the southeastern region of the United States. It is bordered by Tennessee to the north, Georgia to the east, Florida and the Gulf of Mexico to the south, and Mississippi to the west. Alabama is the 30th largest by area and the 24th-most populous of the U.S. states. With a total of of inland waterways, Alabama has among the most of any state."
Achilles,"In Greek mythology, Achilles or Achilleus (, ; , ""Akhilleus"" ) was a Greek hero of the Trojan War and the central character and greatest warrior of Homer's ""Iliad"". His mother was the immortal Nereid Thetis, and his father, the mortal Peleus, was the king of the Myrmidons."
Abraham Lincoln,"Abraham Lincoln (February 12, 1809 – April 15, 1865) was an American statesman and lawyer who served as the 16th President of the United States from March 1861 until his assassination in April 1865. Lincoln led the United States through its Civil War—its bloodiest war and perhaps its greatest moral, constitutional, and political crisis. In doing so, he preserved the Union, paved the way for the abolition of slavery, strengthened the federal government, and modernized the economy."
Aristotle,"Aristotle (; ""Aristotélēs"", ; 384–322 BC) was an ancient Greek philosopher and scientist born in the city of Stagira, Chalkidice, on the northern periphery of Classical Greece. His father, Nicomachus, died when Aristotle was a child, whereafter Proxenus of Atarneus became his guardian. At seventeen or eighteen years of age, he joined Plato's Academy in Athens and remained there until the age of thirty-seven (c. 347 BC). His writings cover many subjects – including physics, biology, zoology, metaphysics, logic, ethics, aesthetics, poetry, theater, music, rhetoric, psychology, linguistics, politics and government – and constitute the first comprehensive system of Western philosophy. Shortly after Plato died, Aristotle left Athens and, at the request of Philip II of Macedon, tutored Alexander the Great beginning in 343 BC."
An American in Paris,"An American in Paris is a jazz-influenced orchestral piece by the American composer George Gershwin, written in 1928. Inspired by the time Gershwin had spent in Paris, it evokes the sights and energy of the French capital in the 1920s and is one of his best-known compositions."
Academy Award for Best Production Design,"The Academy Award for Best Production Design recognizes achievement for art direction in film. The category's original name was Best Art Direction, but was changed to its current name in 2012 for the 85th Academy Awards. This change resulted from the Art Director's branch of the Academy of Motion Picture Arts and Sciences (AMPAS) being renamed the Designer's branch. Since 1947, the award is shared with the set decorator(s). It is awarded to the best interior design in a film."
Academy Awards,"The Academy Awards, also known as the Oscars, are a set of 24 awards for artistic and technical merit in the American film industry, given annually by the Academy of Motion Picture Arts and Sciences (AMPAS), to recognize excellence in cinematic achievements as assessed by the Academy's voting membership. The various category winners are awarded a copy of a golden statuette, officially called the ""Academy Award of Merit"", which has become commonly known by its nickname ""Oscar"". The sculpture was created by George Stanley. The awards, first presented in 1929 at the Hollywood Roosevelt Hotel, are overseen by AMPAS."
Actrius,"Actresses (Catalan: Actrius) is a 1997 Catalan language Spanish drama film produced and directed by Ventura Pons and based on the award-winning stage play ""E.R."" by Josep Maria Benet i Jornet. The film has no male actors, with all roles played by females. The film was produced in 1996."
Animalia (book),"Animalia is an illustrated children's book by Graeme Base. It was originally published in 1986, followed by a tenth anniversary edition in 1996, and a 25th anniversary edition in 2012. Over three million copies have been sold. A special numbered and signed anniversary edition was also published in 1996, with an embossed gold jacket."
International Atomic Time,"International Atomic Time (TAI, from the French name ) is a high-precision atomic coordinate time standard based on the notional passage of proper time on Earth's geoid. It is the principal realisation of Terrestrial Time (except for a fixed offset of epoch). It is also the basis for Coordinated Universal Time (UTC), which is used for civil timekeeping all over the Earth's surface. when another leap second was added, TAI is exactly 37 seconds ahead of UTC. The 37 seconds results from the initial difference of 10 seconds at the start of 1972, plus 27 leap seconds in UTC since 1972."
Altruism,"Altruism or selflessness is the principle or practice of concern for the welfare of others. It is a traditional virtue in many cultures and a core aspect of various religious traditions and secular worldviews, though the concept of ""others"" toward whom concern should be directed can vary among cultures and religions. Altruism or selflessness is the opposite of selfishness. The word was coined by the French philosopher Auguste Comte in French, as ""altruisme"", for an antonym of egoism. He derived it from the Italian ""altrui"", which in turn was derived from Latin ""alteri"", meaning ""other people"" or ""somebody else""."
Ayn Rand,"Ayn Rand (; born Alisa Zinov'yevna Rosenbaum , ;  – March 6, 1982) was a Russian-American novelist, philosopher, playwright, and screenwriter. She is known for her two best-selling novels, ""The Fountainhead"" and ""Atlas Shrugged"", and for developing a philosophical system she called Objectivism. Educated in Russia, she moved to the United States in 1926. She had a play produced on Broadway in 1935 and 1936. After two early novels that were initially unsuccessful, she achieved fame with her 1943 novel, ""The Fountainhead"". In 1957, Rand published her best-known work, the novel ""Atlas Shrugged"". Afterward, she turned to non-fiction to promote her philosophy, publishing her own periodicals and releasing several collections of essays until her death in 1982."
Alain Connes,"Alain Connes (; born 1 April 1947) is a French mathematician, currently Professor at the Collège de France, IHÉS, Ohio State University and Vanderbilt University. He was an Invited Professor at the Conservatoire national des arts et métiers (2000)."
Allan Dwan,"Allan Dwan (3 April 1885 – 28 December 1981) was a pioneering Canadian-born American motion picture director, producer and screenwriter."
Algeria,"Algeria ( '; '; ), officially the People's Democratic Republic of Algeria, is a sovereign state in North Africa on the Mediterranean coast. The capital and most populous city is Algiers, located in the far north of the country. With an area of , Algeria is the tenth-largest country in the world, and the largest in Africa since South Sudan became independent from Sudan in 2011. Algeria is bordered to the northeast by Tunisia, to the east by Libya, to the west by Morocco, to the southwest by the Western Saharan territory, Mauritania, and Mali, to the southeast by Niger, and to the north by the Mediterranean Sea. The country is a semi-presidential republic consisting of 48 provinces and 1,541 communes (counties). Abdelaziz Bouteflika has been President since 1999."
List of Atlas Shrugged characters,"This is a list of characters in Ayn Rand's novel ""Atlas Shrugged."""
Anthropology,Anthropology is the study of various aspects of humans within past and present societies. Social anthropology and cultural anthropology study the norms and values of societies. Linguistic anthropology studies how language affects social life. Biological or physical anthropology studies the biological development of humans.
Agricultural science,<onlyinclude>
